address,area,balcony,cellar,city,contact_name,district,extra_costs,garden,immo_id,kitchen,lat,lng,media_count,price,private,rooms,sqm,title,url,zip_code
,,true,true,München,Alexander Bernhardt,Maxvorstadt,,false,116893916,true,,,12,799000,false,3,94.96,"IMMOXANDER: *Geräumige 3 Zi.-Whg. - Balkon, Einbauküche, Kellerabteil - in Top-Lage - 80335 München*",https://www.immobilienscout24.de/expose/116893916,80335
Arnulfstraße 150-152,,true,false,München,Team QUARTIER NEUHAUSEN,Neuhausen,,false,118914161,false,48.14702,11.53201,6,992000,false,3,81.34,In schöner Umgebung: 3-Zimmer-Wohnung mit Süd-Loggia und die City zum Greifen nah!,https://www.immobilienscout24.de/expose/118914161,80634
,,true,true,München,Denise Torres,Neuhausen,,false,114740247,true,,,15,980000,false,4,112,Großzügige 4-Zimmer-Wohnung mit 2 Balkonen und TG-Stpl. in bevorzugter Wohnlage in Nymphenburg/Gern,https://www.immobilienscout24.de/expose/114740247,80637
,,true,true,München,Bastian Niesseler,Schwabing-West,,false,118855191,true,,,7,800000,false,3,80.89,AIGNER - Raumwunder! Optimal geschnittene 3-Zimmer-Wohnung in Schwabing,https://www.immobilienscout24.de/expose/118855191,80796
,,true,true,München,Kathrin Röthig,Schwanthalerhöhe,,true,119076216,true,,,30,750000,false,3,85,"Schwanthalerhöhe - ruhige 3-Zimmer-Altbauwohnung mit Balkon, Kaminofen und Wohnküche, WG geeignet!",https://www.immobilienscout24.de/expose/119076216,80339
,,true,true,München,Kathrin Röthig,Schwanthalerhöhe,,true,119076208,true,,,31,750000,false,2,85,2-Zimmer-Altbauwohnung mit offener Raumgestaltung an der Schwanthalerhöhe mit Balkon & Kaminofen!,https://www.immobilienscout24.de/expose/119076208,80339
Hanauer Straße 6,,true,true,München,Beratung  und Verkauf,Moosach,,false,118637407,false,48.17379,11.52889,8,999900,false,4,102.22,***Ideal geschnittene 4-Zimmer-Wohnung mit sonnigem Südbalkon und großzügiger Raumaufteilung,https://www.immobilienscout24.de/expose/118637407,80992
,,true,true,München,Christopher Hildebrandt,Ludwigsvorstadt-Isarvorstadt,,false,115181908,true,,,41,799000,false,2,78.64,RARITÄT - denkmalgeschützte Altbauwohnung mit großer Terrasse,https://www.immobilienscout24.de/expose/115181908,80336
,,true,true,München,Thomas Röthig,Milbertshofen,,false,119215048,false,,,27,700000,false,4,97,Perfekt für Familien! 4-Zimmer-Wohnung mit Dachterrasse in Milbertshofen!  Moderne Ausstattung!,https://www.immobilienscout24.de/expose/119215048,80807
,,true,true,München,Thomas Röthig,Milbertshofen,,false,118941723,false,,,26,700000,false,3,97,"Milbertshofen! Loftartige Dachterrassenwohnung mit 3-Zimmern und hochwertiger, moderner Ausstattung!",https://www.immobilienscout24.de/expose/118941723,80807
,,true,true,München,Benjamin Simml,Moosach,,false,117539731,true,,,12,798000,false,4,136.92,Großzügige DG-Galeriewohnung inkl. 2 TG-Einzelplätze!,https://www.immobilienscout24.de/expose/117539731,80993
,,true,false,München,Andreas Bien,Ludwigsvorstadt-Isarvorstadt,,false,117917854,false,,,11,895000,false,3,87.22,Gut geschnittene 3-Zimmerwohnung in Toplage – Glockenbach / Isarvorstadt,https://www.immobilienscout24.de/expose/117917854,80469
,,true,true,München,Thomas Engel,Schwabing,,false,115405622,false,,,18,730000,false,3,93,Schwabing: 3-Zimmer-Wohnung im 5. OG in gefragter Lage,https://www.immobilienscout24.de/expose/115405622,80804
Ortlerstr. 11,,false,false,München,Thomas Bletschacher,Sendling-Westpark,,false,114850421,false,48.12084,11.53179,5,868000,false,3,88.31,Klasse 3-Zimmerwohnung,https://www.immobilienscout24.de/expose/114850421,81373
,,false,true,München,Thomas Röthig,Lehel,,false,118848410,false,,,36,1000000,false,5,153,"Für Kreative! Top-Lage im Lehel! Direkt am Englischen Garten, EG, 5 Zimmer im Altbau mit Potenzial!",https://www.immobilienscout24.de/expose/118848410,80538
Hansastraße 181,,true,true,München,Vincent Wiederhold,Sendling-Westpark,,false,118001285,false,48.11929,11.53474,12,854900,false,3,82.17,WERTHALTIG. MODERN. ZEITLOS. - Traumhafte 3-Zimmer-Wohnung in München Sendling,https://www.immobilienscout24.de/expose/118001285,81373
Schleißheimer Straße 321,,true,false,München,Niederlassung München,Milbertshofen,,false,111893864,false,48.18615,11.56589,5,649000,false,2,72.33,Gemütliche 2-Zimmer-Wohnung mit sonnigem Südbalkon in gut angebundener Lage im Münchner Norden,https://www.immobilienscout24.de/expose/111893864,80809
Schleißheimer Straße 321,,true,false,München,Niederlassung München,Milbertshofen,,false,111893860,false,48.18615,11.56589,5,840000,false,3,82.75,Sonniger Balkon und hochwertige Ausstattung: moderne 3-Zimmer-Wohnung in Milbertshofen,https://www.immobilienscout24.de/expose/111893860,80809
Schleißheimer Straße 321,,true,false,München,Niederlassung München,Milbertshofen,,false,111893859,false,48.18615,11.56589,5,909000,false,3,84.25,Großer Balkon und moderne Ausstattung: geräumige 3-Zimmer-Wohnung in Milbertshofen,https://www.immobilienscout24.de/expose/111893859,80809
