,address,area,balcony,cellar,city,contact_name,district,extra_costs,garden,immo_id,kitchen,lat,lng,media_count,price,private,rooms,sqm,title,url,zip_code
0,,,True,True,München (Kreis),Stefanie Geim,Haar,,False,115229888,False,,,16,575000.0,False,3.5,101.0,Familienwohnen im Herzen von Haar! Großzügige Balkonwohnung sucht ihre neuen Bewohner!,https://www.immobilienscout24.de/expose/115229888,85540
1,,,True,True,München (Kreis),Jessica Wagner,Kirchheim bei München,,False,114358946,True,,,10,698000.0,False,4.0,145.0,Heimstetten/Räterpark! Helle 4-Zi-Wohnung mit 177m² Südterrasse! 500m zur S-Bahn (S2)!,https://www.immobilienscout24.de/expose/114358946,85551
2,Pasinger Straße 18,,True,True,München (Kreis),Beratung und Verkauf,Gräfelfing,,False,114953035,False,48.11758,11.43972,6,880650.0,False,3.0,85.5,Hell & freundlich! Perfekte 3-Zimmer-Wohnung mit 2 Balkonen und hoher Lebensqualität,https://www.immobilienscout24.de/expose/114953035,82166
3,Weidachstr. 7,,True,True,München (Kreis),José Ferreira,Garching bei München,,False,115207968,True,48.24286,11.65782,9,599000.0,False,3.0,98.0,2-Zimmerwohnung mit zusätzlicher ELW! Terrassentraum für Liebhaber!,https://www.immobilienscout24.de/expose/115207968,85748
4,,,True,False,München (Kreis),Dirk Beiling,Höhenkirchen-Siegertsbrunn,,False,114947877,False,,,4,638000.0,False,3.0,83.0,MÜNCHEN-HÖHENKIRCHEN: LINDEN 11!,https://www.immobilienscout24.de/expose/114947877,85635
5,Robert-Koch-Str. 27,,True,True,München (Kreis),Markus Hallmann,Ottobrunn,,False,115294976,False,48.05257,11.66037,10,752400.0,False,3.0,79.77,Attraktiver Wohn- und Lebensraum bei München! Erstklassige 3-Zimmer-Wohnung mit großzügiger Terrasse,https://www.immobilienscout24.de/expose/115294976,85521
6,Riegerweg 12,,True,False,München (Kreis),Christian  Matzke,Taufkirchen,,False,115372283,False,48.04675,11.62703,9,699000.0,False,3.0,83.93,Barrierefreie 3 Zimmer Wohnung,https://www.immobilienscout24.de/expose/115372283,82024
7,,,True,True,München (Kreis),Barbara Bednarska,Unterschleißheim,,False,111904954,True,,,6,265000.0,False,2.5,76.98,"Gepflegt, sonnenhell, geräumig!",https://www.immobilienscout24.de/expose/111904954,85716
8,In der Knackenau 21,,True,True,München (Kreis),Forouzandeh Walterscheid,Grünwald,,False,101242820,False,48.03885,11.51924,4,595000.0,False,4.0,90.0,Grün und jedoch stadtnah? Renovierungsbedürftige Wohnung zur Eigennutzung oder als Kapitalanlage,https://www.immobilienscout24.de/expose/101242820,82031
9,,,True,True,München (Kreis),Engel & Völkers München Nord/Ost,Ismaning,,False,114935785,True,,,4,494000.0,False,2.0,63.0,ENGEL & VÖLKERS - Es gibt noch Traumwohnungen!,https://www.immobilienscout24.de/expose/114935785,85737
10,,,True,True,München (Kreis),Kerstin Höcht,Unterföhring,,False,113917126,True,,,18,478000.0,False,2.5,70.0,Wohnhighlight mit ca. 11 m² großer Süd-Loggia - Nähe S-Bahn,https://www.immobilienscout24.de/expose/113917126,85774
11,,,True,True,München (Kreis),Harald Galwas,Unterschleißheim,,False,114088320,False,,,12,399500.0,False,3.5,89.0,"GI** HOCHPARTERRE! Schöne 3,5-Zi.-Whg. in Unterschleißheim",https://www.immobilienscout24.de/expose/114088320,85716
12,,,True,True,München (Kreis),,Taufkirchen,,False,114800149,False,,,11,358500.0,False,2.0,62.5,Helle Dachgeschosswohnung mit viel Flair in Alt-Taufkirchen...,https://www.immobilienscout24.de/expose/114800149,82024
13,,,True,False,München (Kreis),,Haar,,False,113557883,False,,,3,757000.0,False,2.0,94.0,Diese traumhafte 2-Zi-Wohnung MÜSSEN Sie persönlich gesehen haben...,https://www.immobilienscout24.de/expose/113557883,85540
14,Birkenstraße 5,,True,True,München (Kreis),,Unterföhring,,False,110191805,False,48.19611,11.64643,11,730000.0,False,3.0,80.71,B05 L|I|V|I|N|G - Unterföhring - Sonnige Südwohnung mit großem Balkon und Tageslichtbad,https://www.immobilienscout24.de/expose/110191805,85774
15,,,True,False,München (Kreis),,Unterhaching,,False,115166738,True,,,14,519000.0,False,4.0,106.0,"Brück Immbilien - Freie, ansprechende 4 Zi.-ETW mit Süd- + West-Loggia und herrlichem Bergblick",https://www.immobilienscout24.de/expose/115166738,82008
16,,,True,True,München (Kreis),Klaus Mühlbauer,Unterschleißheim,,False,114600089,True,,,25,565000.0,False,3.0,92.0,**** Bestlage in Unterschleißheim - 3 -Zimmer Wohnung mit windgeschützter Loggia***,https://www.immobilienscout24.de/expose/114600089,85716
